ABCB5	5.063	9.59e-09
ACTG2	2.589	7.66e-05
ANGPTL2	2.316	7.54e-05
ANKRD9	2.058	2.58e-04
ANXA3	2.896	6.23e-04
APOC1	2.077	7.26e-06
APOLD1	2.421	7.54e-05
ARSI	2.292	5.16e-04
ATP6V0D2	5.3	6.93e-05
BCL2A1	2.219	3.43e-06
BHLHE41	2.358	1.06e-04
BIRC7	2.041	3.83e-04
C11orf96	7.419	1.74e-05
C18orf32	2.479	7.36e-04
C21orf91	2.803	5.08e-04
C22orf25	2.367	2.54e-04
C2orf88	2.106	2.02e-04
C3orf58	2.526	3.26e-04
C5orf35	2.389	6.52e-04
CAPG	2.072	3.59e-04
CAPN3	2.565	3.54e-04
CASP1	3.742	6.52e-04
CAV1	2.238	8.01e-04
CD68	2.881	7.96e-04
CDH1	6.564	1.52e-04
CDK2	3.714	2.39e-04
CEP55	2.061	5.28e-04
CHORDC1	4.039	5.83e-05
CKS2	2.668	6.16e-04
CTSL1	2.184	4.49e-04
CYBASC3	2.263	8.04e-04
CYGB	2.787	5.28e-04
DCT	3.332	6.52e-04
DLL3	2.198	9.40e-04
EPHA4	3.158	5.08e-04
ESRP1	2.092	7.26e-06
FABP7	2.248	6.52e-04
FLYWCH1	2.244	4.86e-04
FNIP2	2.119	5.59e-05
GAPDHS	4.514	1.51e-06
GDF15	2.91	5.28e-04
GHR	2.076	7.70e-06
GOLGA8A	2.333	9.79e-04
GPR143	2.384	3.15e-05
GREB1	2.351	5.87e-07
HCG4	3.239	3.43e-06
HEBP1	2.089	4.51e-05
HEY1	2.155	6.41e-04
HIBCH	2.609	8.98e-04
HIST1H2BH	2.24	8.34e-04
HMOX1	2.097	2.60e-04
HNRNPH2	2.982	8.16e-04
HSPA2	2.741	1.16e-06
HSPB8	2.278	9.24e-04
IGFBP7	2.208	7.48e-04
KCNN2	2.499	1.04e-05
KIT	3.211	3.53e-04
LDB3	2.806	6.52e-04
LOC390595	2.64	5.76e-04
LONRF1	2.052	3.43e-06
LOXL1	3.116	3.37e-04
LRRC58	2.173	9.14e-04
LUM	2.007	1.81e-04
MITF	2.078	7.70e-06
MLANA	4.177	8.01e-04
MLPH	2.469	4.80e-05
MREG	2.65	2.51e-05
MYO1D	2.417	9.08e-04
NANOS1	2.13	7.46e-06
NEAT1	2.502	6.52e-04
NR4A3	2.605	7.36e-04
NUDT1	2.348	5.36e-04
OCA2	3.421	3.32e-04
PCLO	2	2.47e-04
PEX3	2.897	9.01e-04
PIR	2.037	7.66e-05
PLXNC1	5.175	3.15e-05
PM20D2	2.192	1.48e-05
PPARGC1A	3.845	2.45e-04
PQBP1	2.08	7.39e-04
PTP4A2	2.179	4.71e-04
PTPRU	2.044	5.28e-04
PYCARD	2.413	8.88e-04
RAB27A	3.352	8.82e-07
RAB32	2.101	3.98e-06
RGS1	8.84	3.43e-06
RNF135	2.739	3.08e-04
RTN4R	2.349	1.26e-05
SAMM50	2.095	4.52e-04
SCML4	2.502	5.87e-07
SDCBP	2.046	3.98e-06
SERPINF1	2.386	7.70e-06
SLC19A2	2.31	2.51e-05
SLC27A3	2.804	2.17e-05
SLC45A2	3.049	4.05e-05
SLC7A5	2.123	2.28e-04
SLC7A6	2.595	5.33e-04
SPP1	2.261	6.59e-05
STX7	2.034	3.43e-06
TBC1D7	3.058	9.59e-09
TDRD3	2.493	1.33e-04
TDRD7	2.376	1.62e-06
TNFRSF14	2.282	7.90e-05
TRIM63	6.983	5.02e-08
TRPM1	5.442	1.95e-09
TSPAN10	3.174	1.47e-06
TTC39A	2.347	2.51e-05
TUBB4	2.097	1.24e-04
TYRP1	3.278	7.36e-04
UGCG	2.396	4.71e-04
UPP1	2.031	6.07e-05
VANGL1	2.474	8.72e-04
YIPF1	2.396	6.56e-04
ZNF689	2.198	1.58e-04
